股票编号,报告日期,基本每股收益,净利率,流动比率,速动比率
00058,2018-12,-0.0707,-10.5195,45400.0,10800.0
00058,2018-06,-0.0059,0.3881,45900.0,9423.92
00058,2017-12,-0.0013,-1.3838,45400.0,9136.75
00058,2017-06,-0.0017,-4.2379,39700.0,9793.0
00058,2016-12,-0.0447,-73.531,33900.0,11100.000000000002
00058,2016-06,-0.0171,-41.1629,34200.0,10600.0
00058,2015-12,0.1508,89.6986,16400.0,9891.84
00058,2015-06,0.2208,221.2033,22799.999999999996,23600.0
00059,2018-12,0.095,13.2556,1752400.0,1379500.0
00059,2018-06,0.162,11.9229,1692100.0,1077100.0
00059,2017-12,0.21,13.4118,1477800.0,1050400.0
00059,2017-06,0.153,14.3986,1274100.0,873000.0
00059,2016-12,0.038,5.7189,1299100.0,956000.0
00059,2016-06,0.043,8.0103,945500.0,715400.0000000001
00059,2015-12,-0.096,-75.8237,951100.0,792000.0
00059,2015-06,-0.0317,-58.4059,783900.0,634700.0
00060,2018-09,0.6693,276.3887,21500.0,4029.56
00060,2018-03,0.2056,43.6808,9392.25,15400.0
00060,2017-09,0.2808,96.9438,11299.999999999998,16000.0
00060,2017-03,-0.0356,-6.2988,7972.71,15800.0
00060,2016-09,-0.001,-0.4012,7863.76,14700.0
00060,2016-03,-0.0499,-8.6203,7603.24,14200.0
00060,2015-09,-0.0018,-0.5657,8550.95,14200.0
00060,2015-03,0.0658,9.9471,9549.36,14800.0
00061,2018-12,-0.1417,-247.1644,31400.0,123200.0
00061,2018-06,0.0118,-2.8381,30200.0,528100.0
00061,2017-12,0.0108,99.5446,28100.0,532100.0
00061,2017-06,-0.0014,-128.1822,22700.0,466300.0
00061,2016-12,0.0019,96.6794,21200.0,469500.0
00061,2016-06,-0.005,-463.9901,14900.0,459600.0
00061,2015-12,-0.1315,-5901.9946,11900.0,386000.0
00061,2015-06,-0.1154,-9832.4539,13799.999999999998,458300.0
00062,2018-12,1.472,8.9905,165700.0,103400.0
00062,2018-06,0.6155,7.8345,140200.0,120600.0
00062,2017-12,2.5997,16.3131,148200.0,111600.0
00062,2017-06,0.7985,9.3294,117000.0,114900.0
00062,2016-12,1.8248,10.3864,158700.0,125000.0
00062,2016-06,0.8205,9.9432,201600.0,173500.0
00062,2015-12,1.3069,7.9547,282800.0,172200.0
00062,2015-06,0.6467,8.6408,248600.0,153400.0
00063,2018-12,-0.0276,-537.3707,1126.79,18400.0
00063,2018-06,-0.0073,-307.2514,3530.4,17500.0
00063,2017-12,0.0154,1167.2964,5524.28,17600.0
00063,2017-06,-0.0086,-1318.6528,34300.0,19300.0
00063,2016-12,-0.014,-807.5524,31700.0,12300.0
00063,2016-06,-0.0062,-725.0354,22799.999999999996,842.19
00063,2015-12,-0.0083,-216.7813,23700.0,458.1
00063,2015-06,-0.0033,-445.9082,22300.0,595.16
00065,2018-12,-0.011,-2.749,16800.0,12700.0
00065,2018-06,-0.0126,-36.2693,12100.0,15600.0
00065,2017-12,-0.104,-142.8882,12900.0,14600.0
00065,2017-06,-0.0217,-37.5035,4323.89,12800.0
00065,2016-12,-0.2137,-47.4958,11100.000000000002,18700.0
00065,2016-06,-0.2017,-194.7387,6560.28,19300.0
00065,2015-12,-0.2961,-82.8143,12200.0,23000.0
00065,2015-06,-0.0485,-30.6384,18400.0,20400.0
00069,2018-12,0.3706,7.2974,1107000.0,997099.9999999999
00069,2018-06,0.2829,12.9829,1120000.0,1108400.0
00069,2017-12,0.2895,6.578,944500.0,884800.0
00069,2017-06,0.1171,5.4306,956800.0000000001,793300.0
00069,2016-12,0.206,3.018,976800.0000000001,1216700.0
00069,2016-06,-0.007,-3.3387,1009599.9999999999,1195000.0
00069,2015-12,0.2552,8.0079,1031800.0000000001,1611500.0
00069,2015-06,0.1685,11.0884,1088100.0,1328100.0
00070,2018-12,0.0175,39.7576,72900.0,815.04
00070,2018-06,0.0506,95.3251,76300.0,607.2
00070,2017-12,0.0084,38.4243,68900.0,373.48
00070,2017-06,-0.0087,13.46,102400.0,2076.85
00070,2016-12,0.0358,29.2674,81100.0,2207.92
00070,2016-06,-0.3675,-167.4851,66100.0,2310.86
00070,2015-12,-0.0467,-188.442,39900.0,2295.94
00070,2015-06,-0.1415,-210.8709,36600.0,2274.9
00071,2018-12,2.0678,51.8747,454799.99999999994,69200.0
00071,2018-06,1.0539,54.7675,439799.99999999994,90399.99999999999
00071,2017-12,2.1065,48.4378,326900.0,64700.0
00071,2017-06,1.163,50.8154,299000.0,70900.0
00071,2016-12,1.9769,41.9407,297200.0,108100.0
00071,2016-06,0.923,43.2036,284800.0,96100.0
00071,2015-12,1.9688,42.9319,293300.0,107100.00000000001
00071,2015-06,1.1908,56.7795,290900.0,120399.99999999999
00072,2018-12,-0.0811,-7.6777,33000.0,18200.0
00072,2018-06,-0.0726,-16.8707,31600.0,17300.0
00072,2017-12,-0.0883,-9.1339,36500.0,17000.0
00072,2017-06,-0.1149,-29.2708,36100.0,17800.0
00072,2016-12,0.0071,0.5806,42300.00000000001,19300.0
00072,2016-06,-0.1588,-33.8982,33300.0,17900.0
00072,2015-12,0.0478,3.4565,40500.0,17800.0
00072,2015-06,0.013,2.0688,43500.0,19800.0
